Region,Date,Estimated Unemployment Rate,Area,Year
Jammu & Kashmir,2019-06-30,19.88,Urban,2019.0
Jammu & Kashmir,2019-07-31,21.55,Urban,2019.0
Jammu & Kashmir,2019-10-31,24.06,Urban,2019.0
Jammu & Kashmir,2019-11-30,14.29,Urban,2019.0
Jammu & Kashmir,2019-12-31,7.02,Urban,2019.0
Jammu & Kashmir,2020-01-31,18.54,Urban,2020.0
Jammu & Kashmir,2020-02-29,19.86,Urban,2020.0
Jammu & Kashmir,2020-03-31,14.29,Urban,2020.0
Jammu & Kashmir,2020-05-31,12.96,Urban,2020.0
Jharkhand,2019-05-31,17.23,Urban,2019.0
Jharkhand,2019-06-30,20.51,Urban,2019.0
Jharkhand,2019-07-31,15.67,Urban,2019.0
Jharkhand,2019-08-31,20.25,Urban,2019.0
Jharkhand,2019-09-30,21.16,Urban,2019.0
Jharkhand,2019-10-31,19.05,Urban,2019.0
Jharkhand,2019-11-30,17.34,Urban,2019.0
Jharkhand,2019-12-31,22.01,Urban,2019.0
Jharkhand,2020-01-31,22.96,Urban,2020.0
Jharkhand,2020-02-29,19.67,Urban,2020.0
